PLAYER,RUSHYDS,RUSHTD,RECYDS,RECTD,FL
Jonathan Taylor RB  IND,1771,15,400,2,4
Austin Ekeler RB  LAC,943,10,747,8,3
Derrick Henry RB  TEN,1722,13,229,0,4
Najee Harris RB  PIT,1184,9,476,3,4
Joe Mixon RB  CIN,1145,11,342,3,3
Dalvin Cook RB  MIN,1325,10,382,0,3
Christian McCaffrey RB  CAR,978,5,751,4,3
Alvin Kamara RB  NO,939,6,593,5,3
Leonard Fournette RB  TB,922,10,521,1,3
Nick Chubb RB  CLE,1363,7,217,1,3
James Conner RB  ARI,855,11,352,3,3
Aaron Jones RB  GB,898,6,488,5,3
Javonte Williams RB  DEN,1112,6,308,4,3
Saquon Barkley RB  NYG,983,5,444,4,3
J.K. Dobbins RB  BAL,1055,10,243,0,2
D'Andre Swift RB  DET,840,6,517,3,3
David Montgomery RB  CHI,1017,8,325,1,3
Josh Jacobs RB  LV,918,10,299,0,3
Damien Harris RB  NE,980,10,129,0,2
Breece Hall RB  NYJ,807,6,441,2,3
Cam Akers RB  LAR,1015,5,342,1,5
Ezekiel Elliott RB  DAL,909,8,206,1,3
Dameon Pierce RB  HOU,776,6,378,2,3
Elijah Mitchell RB  SF,1159,6,82,0,3
Travis Etienne RB  JAC,689,6,415,2,3
Miles Sanders RB  PHI,1026,4,227,1,2
Cordarrelle Patterson RB  ATL,604,5,402,4,2
Devin Singletary RB  BUF,850,7,200,1,2
A.J. Dillon RB  GB,776,5,351,2,2
Tony Pollard RB  DAL,868,3,415,1,2
Clyde Edwards-Helaire RB  KC,839,5,256,2,2
Kareem Hunt RB  CLE,724,6,354,1,2
Melvin Gordon RB  DEN,761,8,142,2,3
Antonio Gibson RB  WAS,752,6,222,2,3
Chase Edmonds RB  MIA,780,3,415,1,2
Rashaad Penny RB  SEA,963,6,76,0,2
Rhamondre Stevenson RB  NE,786,6,262,0,2
Brian Robinson Jr. RB  WAS,805,6,177,1,3
James Robinson RB  JAC,667,7,202,1,2
Kenneth Walker III RB  SEA,726,5,223,1,3
Tyler Allgeier RB  ATL,622,4,336,2,3
Kenneth Gainwell RB  PHI,469,7,274,2,2
James Cook RB  BUF,671,6,181,1,3
Michael Carter RB  NYJ,660,4,266,0,2
Darrel Williams RB  ARI,492,5,302,1,2
Darrell Henderson RB  LAR,555,5,167,2,2
Zamir White RB  LV,518,5,231,1,2
Nyheim Hines RB  IND,431,3,409,2,4
Raheem Mostert RB  MIA,635,4,88,1,1
Jamaal Williams RB  DET,643,3,173,1,2
Damien Williams RB  ATL,483,5,146,2,2
Isiah Pacheco RB  KC,476,4,266,1,2
J.D. McKissic RB  WAS,340,3,346,2,1
Rachaad White RB  TB,479,5,175,1,2
Mark Ingram RB  NO,515,4,173,1,2
Alexander Mattison RB  MIN,543,3,219,1,2
Hassan Haskins RB  TEN,534,4,127,1,2
Duke Johnson RB  BUF,401,4,194,1,1
Marlon Mack RB  HOU,636,3,32,0,2
Khalil Herbert RB  CHI,575,3,126,0,2
Tyrion Davis-Price RB  SF,425,4,144,1,2
D'Onta Foreman RB  CAR,536,3,71,0,1
Isaiah Spiller RB  LAC,376,3,187,1,2
Gus Edwards RB  BAL,528,2,116,0,1
Matt Breida RB  NYG,418,2,151,2,3
Dontrell Hilliard RB  TEN,425,3,166,0,2
Brandon Bolden RB  LV,287,2,289,1,1
Samaje Perine RB  CIN,430,2,96,1,1
Jerick McKinnon RB  KC,236,1,313,2,1
Jeff Wilson RB  SF,342,3,77,1,1
Craig Reynolds RB  DET,368,1,178,1,1
Chuba Hubbard RB  CAR,316,3,126,1,1
Sony Michel RB  MIA,445,2,56,0,1
Rex Burkhead RB  HOU,265,2,200,1,1
Joshua Kelley RB  LAC,363,2,55,0,3
Ke'Shawn Vaughn RB  TB,230,3,33,0,1
Ronald Jones RB  KC,290,2,37,0,1
Kyle Juszczyk FB  SF,37,1,277,1,0
Ameer Abdullah RB  LV,162,0,280,1,1
Boston Scott RB  PHI,170,3,28,0,0
Mike Davis RB  BAL,272,1,81,0,1
Johnny Stanton RB  CLE,82,1,85,2,0
Jermar Jefferson RB  DET,137,3,26,0,0
Mike Boone RB  DEN,189,2,16,0,0
Tevin Coleman RB  NYJ,246,1,84,0,1
Demetric Felton RB  CLE,29,0,170,2,1
Tory Carter FB  TEN,89,1,71,1,0
Travis Homer RB  SEA,181,1,72,0,0
Tyler Badie RB  BAL,196,1,18,0,0
Patrick Ricard FB  BAL,4,0,144,2,0
Ty'Son Williams RB  IND,182,1,29,0,0
D'Ernest Johnson RB  CLE,171,1,28,0,0
Phillip Lindsay RB  IND,175,1,12,0,0
J.J. Taylor RB  NE,91,2,2,0,0
Benny Snell RB  PIT,193,1,16,0,1
Justin Jackson RB  DET,160,1,24,0,0
Jerome Ford RB  CLE,161,1,36,0,0
Keaontay Ingram RB  ARI,139,1,39,0,0
Rico Dowdle RB  DAL,143,1,31,0,0
JaMycal Hasty RB  SF,109,1,76,0,0
