PLAYER,RECYDS,RUSHTD,RUSHYDS,RECTD,FL
Cooper Kupp WR  LAR,1790,14,19,0,1
Justin Jefferson WR  MIN,1626,9,12,0,1
Davante Adams WR  LV,1574,8,0,0,1
Ja'Marr Chase WR  CIN,1435,10,40,0,1
Deebo Samuel WR  SF,1069,5,377,6,1
Stefon Diggs WR  BUF,1403,9,10,0,1
Mike Evans WR  TB,1098,11,7,0,1
CeeDee Lamb WR  DAL,1308,7,83,0,1
Tee Higgins WR  CIN,1232,7,4,0,1
Keenan Allen WR  LAC,1212,7,2,0,1
Mike Williams WR  LAC,1165,8,1,0,1
A.J. Brown WR  PHI,1141,8,23,0,1
D.J. Moore WR  CAR,1218,6,36,0,1
Tyreek Hill WR  MIA,1146,7,79,0,1
Michael Pittman WR  IND,1166,7,45,0,1
Allen Robinson WR  LAR,1161,7,0,0,1
Jaylen Waddle WR  MIA,1079,7,4,1,1
Chris Godwin WR  TB,1155,6,21,1,2
Terry McLaurin WR  WAS,1109,6,14,0,1
Brandin Cooks WR  HOU,1089,6,27,0,1
Diontae Johnson WR  PIT,1038,7,45,0,2
Gabriel Davis WR  BUF,839,10,0,0,0
Marquise Brown WR  ARI,1034,7,5,0,1
Michael Thomas WR  NO,1085,6,-4,0,1
Courtland Sutton WR  DEN,1133,5,3,0,1
DK Metcalf WR  SEA,902,8,6,0,1
Rashod Bateman WR  BAL,1071,5,0,0,1
Jerry Jeudy WR  DEN,1067,5,3,0,1
DeVonta Smith WR  PHI,948,7,0,0,1
Adam Thielen WR  MIN,752,10,6,0,1
Elijah Moore WR  NYJ,749,7,92,2,1
Darnell Mooney WR  CHI,967,5,29,1,1
JuJu Smith-Schuster WR  KC,880,5,20,2,1
Amari Cooper WR  CLE,940,6,3,0,1
Allen Lazard WR  GB,733,9,35,0,1
Christian Kirk WR  JAC,972,5,18,0,1
Robert Woods WR  TEN,777,5,160,2,1
Hunter Renfrow WR  LV,830,7,2,0,1
Amon-Ra St. Brown WR  DET,849,5,65,1,1
Brandon Aiyuk WR  SF,885,5,26,0,1
Drake London WR  ATL,921,5,12,0,2
Marvin Jones WR  JAC,790,7,0,0,1
Tyler Lockett WR  SEA,897,5,6,0,1
DeVante Parker WR  NE,873,5,0,0,1
Treylon Burks WR  TEN,868,5,16,0,2
DeAndre Hopkins WR  ARI,734,7,2,0,1
George Pickens WR  PIT,932,4,9,0,2
Kenny Golladay WR  NYG,961,3,0,0,1
K.J. Osborn WR  MIN,706,7,10,0,1
Donovan Peoples-Jones WR  CLE,883,4,0,0,1
Sterling Shepard WR  NYG,856,4,21,0,1
Chase Claypool WR  PIT,890,3,86,0,1
Marquez Valdes-Scantling WR  KC,798,5,5,0,0
Garrett Wilson WR  NYJ,879,4,11,0,2
Michael Gallup WR  DAL,790,5,0,0,1
Nico Collins WR  HOU,901,3,0,0,1
Robbie Anderson WR  CAR,671,7,24,0,1
Kadarius Toney WR  NYG,860,3,106,0,1
Russell Gage WR  TB,738,6,4,0,2
Jakobi Meyers WR  NE,843,4,9,0,1
Tyler Boyd WR  CIN,759,5,24,0,1
Chris Olave WR  NO,789,5,10,0,2
Jahan Dotson WR  WAS,847,4,13,0,2
Skyy Moore WR  KC,829,4,12,0,2
Corey Davis WR  NYJ,727,5,0,0,1
Julio Jones WR  TB,843,3,0,0,1
Kendrick Bourne WR  NE,679,5,93,0,1
Jalen Tolbert WR  DAL,779,4,13,0,2
D.J. Chark WR  DET,603,6,8,0,0
Jarvis Landry WR  NO,674,4,30,1,1
Marquez Callaway WR  NO,671,5,0,0,1
Mecole Hardman WR  KC,707,3,75,1,2
Braxton Berrios WR  NYJ,501,3,83,4,1
Rondale Moore WR  ARI,659,4,86,0,1
Darius Slayton WR  NYG,618,5,-11,0,1
Christian Watson WR  GB,681,4,12,0,2
Keelan Cole WR  LV,712,3,1,0,1
Randall Cobb WR  GB,526,6,4,0,1
Van Jefferson WR  LAR,612,4,24,0,0
Nick Westbrook WR  TEN,531,5,0,0,1
Ced Wilson WR  MIA,604,4,8,0,1
Laviska Shenault Jr. WR  JAC,633,3,54,0,1
Sammy Watkins WR  GB,653,3,5,0,1
Nelson Agholor WR  NE,532,4,11,0,0
Romeo Doubs WR  GB,592,4,12,0,2
Bryan Edwards WR  ATL,582,3,0,0,0
Quintez Cephus WR  DET,467,5,0,0,0
A.J. Green WR  ARI,616,2,0,0,0
David Bell WR  CLE,573,3,13,0,1
Olamide Zaccheaus WR  ATL,509,4,3,0,0
Isaiah McKenzie WR  BUF,460,3,92,1,1
Curtis Samuel WR  WAS,428,3,125,1,1
Laquon Treadwell WR  JAC,519,3,0,0,0
James Washington WR  DAL,448,4,12,0,0
Jamison Crowder WR  BUF,465,4,5,0,1
Zay Jones WR  JAC,586,2,3,0,1
K.J. Hamler WR  DEN,490,3,24,0,0
Jalen Guyton WR  LAC,484,3,30,0,0
Parris Campbell WR  IND,464,3,27,0,0
Kalif Raymond WR  DET,483,3,20,0,1
