RANK,PLAYER,SCK,FF,FR,INT,ITD,FTD
1,"Bills D/ST
BufD/ST",44,13,8,14,1,1
2,"Saints D/ST
NOD/ST",43,12,8,14,1,1
3,"Packers D/ST
GBD/ST",41,12,8,15,1,1
4,"Ravens D/ST
BalD/ST",42,15,10,15,1,1
5,"Buccaneers D/ST
TBD/ST",44,15,10,15,1,1
6,"49ers D/ST
SFD/ST",43,14,9,14,1,1
7,"Cowboys D/ST
DalD/ST",43,15,10,14,1,1
8,"Colts D/ST
IndD/ST",40,14,9,14,1,1
9,"Steelers D/ST
PitD/ST",43,15,10,12,1,1
10,"Commanders D/ST
WshD/ST",41,14,9,13,1,1
11,"Chargers D/ST
LACD/ST",41,17,11,14,1,1
12,"Dolphins D/ST
MiaD/ST",42,14,9,13,1,1
13,"Browns D/ST
CleD/ST",43,13,8,14,1,1
14,"Patriots D/ST
NED/ST",40,13,8,14,1,1
15,"Bengals D/ST
CinD/ST",43,14,9,15,1,1
16,"Eagles D/ST
PhiD/ST",44,14,9,13,1,1
17,"Rams D/ST
LARD/ST",43,13,8,13,1,1
18,"Titans D/ST
TenD/ST",43,12,8,13,1,1
19,"Broncos D/ST
DenD/ST",39,14,9,15,1,1
20,"Vikings D/ST
MinD/ST",41,12,8,12,1,1
21,"Panthers D/ST
CarD/ST",40,12,8,13,1,1
22,"Raiders D/ST
LVD/ST",39,14,9,13,1,1
23,"Giants D/ST
NYGD/ST",39,12,8,13,1,1
24,"Cardinals D/ST
AriD/ST",39,15,10,14,1,1
25,"Bears D/ST
ChiD/ST",39,14,9,12,1,1
26,"Jets D/ST
NYJD/ST",41,15,10,12,1,1
27,"Chiefs D/ST
KCD/ST",43,14,9,14,1,1
28,"Jaguars D/ST
JaxD/ST",40,11,7,12,1,1
29,"Seahawks D/ST
SeaD/ST",38,12,8,13,1,1
30,"Falcons D/ST
AtlD/ST",37,13,8,14,1,1
31,"Lions D/ST
DetD/ST",38,12,8,13,1,1
32,"Texans D/ST
HouD/ST",38,13,8,13,1,1
