RANK,PLAYER,FG39/FGA39,FG49/FGA49,FG50+/FGA50+,FG/FGA,XP/XPA
1,"Justin Tucker
BalK",18/18,9/11,4/6,31/34,39/40
2,"Evan McPherson
CinK",18/18,9/11,4/6,31/35,45/46
3,"Matt Gay
LARK",18/18,9/11,4/6,31/35,44/46
4,"Harrison Butker
KCK",16/16,8/10,4/5,28/31,51/52
5,"Daniel Carlson
LVK",17/17,8/10,4/6,29/33,42/43
6,"Brandon McManus
DenK",17/17,8/10,4/5,28/33,43/44
7,"Nick Folk
NEK",17/17,8/10,4/5,29/33,42/43
8,"Tyler Bass
BufK",15/16,7/10,3/5,26/31,46/50
9,"Matt Prater
AriK",16/17,8/10,3/5,27/33,42/46
10,"Graham GanoQ
NYGK",17/17,8/10,4/5,29/33,33/34
11,"Greg Joseph
MinK",16/17,8/10,3/5,28/33,42/44
12,"Jake Elliott
PhiK",16/17,8/10,3/5,27/33,41/43
13,"Robbie Gould
SFK",16/16,8/10,3/5,27/32,40/43
14,"Ryan Succop
TBK",15/16,7/10,3/5,25/31,47/52
15,"Dustin Hopkins
LACK",15/16,7/9,3/5,25/30,45/48
16,"Mason CrosbyO
GBK",15/17,7/10,3/5,26/32,42/47
17,"Chris Boswell
PitK",17/17,8/10,4/5,29/32,29/29
18,"Younghoe Koo
AtlK",16/17,8/10,4/5,28/32,28/29
19,"Brett Maher
DalK",16/17,8/10,3/5,27/33,40/44
20,"Joey Slye
WshK",16/16,8/10,3/5,27/32,37/39
21,"Austin Seibert
DetK",16/17,8/10,3/6,28/33,34/36
22,"Wil Lutz
NOK",16/17,8/10,3/5,27/32,37/40
23,"Randy Bullock
TenK",15/16,8/10,3/5,26/32,38/41
24,"Cade York
CleK",15/16,8/10,3/5,26/31,35/37
25,"Ryan Santoso
NYGK",--/--,--/--,--/--,--/--,--/--
26,"Rodrigo Blankenship
IndK",15/16,7/10,3/5,26/32,39/43
27,"Greg Zuerlein
NYJK",16/17,8/10,3/6,27/33,31/33
28,"Zane Gonzalez
CarK",16/17,8/10,4/5,28/33,32/33
29,"Cairo Santos
ChiK",16/17,8/10,3/5,27/33,30/32
30,"Jason Myers
SeaK",16/17,8/10,3/5,27/33,32/34
31,"Ka'imi FairbairnQ
HouK",16/17,8/10,3/5,27/32,28/30
32,"Jason Sanders
MiaK",13/14,6/8,3/4,22/27,38/41
33,"Eddy Pineiro
FAK",--/--,--/--,--/--,--/--,--/--
34,"Chris Blewitt
FAK",--/--,--/--,--/--,--/--,--/--
35,"Michael Badgley
FAK",--/--,--/--,--/--,--/--,--/--
36,"Aldrick Rosas
FAK",--/--,--/--,--/--,--/--,--/--
37,"Josh Lambo
FAK",--/--,--/--,--/--,--/--,--/--
38,"Sam FickenQ
FAK",--/--,--/--,--/--,--/--,--/--
39,"Cody ParkeyQ
FAK",--/--,--/--,--/--,--/--,--/--
40,"Dan Bailey
FAK",--/--,--/--,--/--,--/--,--/--
41,"Kai Forbath
FAK",--/--,--/--,--/--,--/--,--/--
42,"Mike Nugent
FAK",--/--,--/--,--/--,--/--,--/--
43,"Stephen Hauschka
FAK",--/--,--/--,--/--,--/--,--/--
44,"Stephen Gostkowski
FAK",--/--,--/--,--/--,--/--,--/--
45,"Chase McLaughlin
FAK",--/--,--/--,--/--,--/--,--/--
46,"Sam Sloman
FAK",--/--,--/--,--/--,--/--,--/--
47,"Justin Rohrwasser
FAK",--/--,--/--,--/--,--/--,--/--
48,"Brandon Wright
FAK",--/--,--/--,--/--,--/--,--/--
49,"Sergio Castillo
FAK",--/--,--/--,--/--,--/--,--/--
50,"Elliott FryQ
FAK",--/--,--/--,--/--,--/--,--/--
